타임스탬프,평균 수면시간은?,1-1 6시간 미만을 선택했다면 현재 수면시간에 만족하나요?,"1-1 6시간 미만을 선택했다면, 현재 학업 성취도의 정도는?",1-2 6시간~8시간을 선택했다면 현재 수면시간에 만족하나요?,"1-2 6시간~8시간을 선택했다면, 현재 학업 성취도의 정도는?",1-3 8시간 이상을 선택했다면 현재 수면시간에 만족하나요?,1-3 8시간 이상을 선택했다면 현재 학업 성취도의 정도는?
2024.06.13 오전 10:09:20,6시간~8시간,,,O,중간이다,,
2024.06.13 오전 10:10:20,6시간~8시간,,,X,중간이다,,
2024.06.13 오전 10:20:06,8시간 이상,,,,,,
2024.06.13 오전 10:23:06,8시간 이상,,,,,O,중간이다
2024.06.13 오전 10:24:12,6시간~8시간,,,X,중간이다,,
2024.06.13 오전 10:24:51,6시간 미만,X,낮다,,,,
2024.06.13 오전 10:25:10,6시간~8시간,O,중간이다,,,,
2024.06.13 오전 10:25:24,6시간~8시간,,,X,중간이다,,
2024.06.13 오전 10:25:55,6시간~8시간,,,O,낮다,,
2024.06.13 오전 10:28:31,6시간 미만,X,중간이다,,,,
2024.06.13 오전 10:29:18,6시간~8시간,X,,,,,
2024.06.13 오전 10:30:51,6시간 미만,O,중간이다,,,,
2024.06.13 오전 10:46:45,6시간~8시간,,,X,낮다,,
2024.06.13 오전 10:59:50,6시간~8시간,,,X,,,
2024.06.13 오전 11:08:25,6시간 미만,X,높은편이다,,,,
2024.06.13 오전 11:09:25,8시간 이상,,,,,O,높은 편이다
2024.06.13 오전 11:09:34,6시간 미만,X,높은편이다,,,,
2024.06.13 오전 11:14:23,6시간~8시간,,,O,,,
2024.06.13 오전 11:20:21,6시간 미만,X,중간이다,,,,
2024.06.13 오전 11:21:11,6시간 미만,X,높은편이다,,,,
2024.06.13 오전 11:25:48,6시간~8시간,,,O,중간이다,,중간이다
2024.06.13 오전 11:26:45,6시간 미만,X,중간이다,,,,
2024.06.13 오전 11:28:02,6시간 미만,X,낮다,,,,
2024.06.13 오후 12:11:39,6시간 미만,X,높은편이다,,,,
2024.06.13 오후 12:38:20,6시간~8시간,,,O,낮다,,
2024.06.13 오후 01:00:29,8시간 이상,,,,,O,중간이다
2024.06.13 오후 02:17:34,8시간 이상,,,,,O,중간이다
2024.06.13 오후 02:17:44,6시간~8시간,,,O,높은 편이다,,
2024.06.13 오후 02:17:53,6시간~8시간,,,,,X,
2024.06.13 오후 02:18:02,6시간~8시간,,,,,O,높은 편이다
2024.06.13 오후 04:40:42,6시간 미만,X,높은편이다,,,,
2024.06.13 오후 06:28:39,6시간~8시간,,,X,중간이다,,
2024.06.13 오후 06:28:57,6시간 미만,X,높은편이다,,,,
2024.06.13 오후 06:29:03,6시간~8시간,,,X,중간이다,,
2024.06.13 오후 06:29:33,6시간 미만,X,낮다,,,,
2024.06.13 오후 06:29:42,6시간 미만,X,중간이다,,,,
2024.06.13 오후 10:08:45,6시간 미만,X,중간이다,,,,
2024.06.13 오후 11:15:25,6시간~8시간,,,X,중간이다,,
2024.06.13 오후 11:32:58,6시간~8시간,,,O,중간이다,,
2024.06.14 오후 06:58:55,6시간 미만,X,중간이다,,,,
2024.06.14 오후 11:19:35,6시간~8시간,,,O,중간이다,,
2024.06.14 오후 11:26:07,6시간~8시간,,,O,높은 편이다,,
2024.06.14 오후 11:26:46,6시간 미만,X,낮다,,,,
2024.06.14 오후 11:48:31,6시간~8시간,,,O,중간이다,,
2024.06.15 오전 12:03:30,6시간~8시간,,,O,중간이다,,
2024.06.15 오후 02:50:00,8시간 이상,,,,,O,높은 편이다
2024.06.15 오후 02:50:50,6시간 미만,X,중간이다,,,,
2024.06.15 오후 02:52:00,6시간 미만,X,중간이다,,,,
2024.06.15 오후 03:01:55,6시간~8시간,,,O,높은 편이다,,
2024.06.15 오후 03:02:08,6시간~8시간,,,O,중간이다,,
2024.06.15 오후 03:08:51,6시간 미만,X,중간이다,,,,
2024.06.15 오후 07:51:06,6시간~8시간,,,O,높은 편이다,,
2024.06.15 오후 07:58:13,6시간~8시간,,,O,높은 편이다,,
2024.06.15 오후 08:13:53,8시간 이상,,,,,O,중간이다
2024.06.15 오후 08:32:59,6시간 미만,X,낮다,,,,
2024.06.15 오후 09:58:50,6시간 미만,X,높은편이다,,,,
2024.06.15 오후 09:59:29,6시간 미만,X,중간이다,,,,
2024.06.15 오후 10:20:30,6시간~8시간,,,O ,중간이다,,
2024.06.16 오전 07:44:13,8시간 이상,,,,,O,높은 편이다
2024.06.16 오후 04:16:51,6시간 미만,X,낮다,,,,
2024.06.16 오후 10:47:50,6시간 미만,X,낮다,,,,
2024.06.17 오후 02:17:34,8시간 이상,,,,,O,높은 편이다
2024.06.17 오후 02:17:44,6시간~8시간,,,,,O,중간이다
2024.06.17 오후 02:17:53,6시간~8시간,,,,,O,높은 편이다
2024.06.17 오후 02:18:02,6시간 미만,X,높은편이다,,,,
2024.06.17 오후 02:22:24,6시간~8시간,,,X,중간이다,,
2024.06.17 오후 02:22:37,6시간 미만,X,높은편이다,,,,
2024.06.17 오전 01:08:59,6시간~8시간,,,X,중간이다,,
2024.06.17 오전 02:26:37,6시간 미만,X,낮다,,,,
2024.06.17 오전 03:14:22,6시간 미만,X,중간이다,,,,
2024.06.17 오전 04:05:48,6시간 미만,X,중간이다,,,,
2024.06.17 오전 05:23:10,6시간~8시간,,,X,중간이다,,
2024.06.17 오전 06:17:45,6시간~8시간,,,O,중간이다,,
2024.06.17 오전 07:35:29,6시간 미만,X,중간이다,,,,
2024.06.17 오전 08:48:56,6시간~8시간,,,O,중간이다,,
2024.06.17 오전 09:52:30,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오전 10:11:22,6시간 미만,X,낮다,,,,
2024.06.17 오전 11:25:48,6시간~8시간,,,O,중간이다,,
2024.06.17 오후 12:38:56,6시간~8시간,,,O,중간이다,,
2024.06.17 오후 01:42:17,8시간 이상,,,,,O,높은 편이다
2024.06.17 오후 02:55:30,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 03:21:14,6시간~8시간,,,O,중간이다,,
2024.06.17 오후 04:33:45,6시간 미만,X,중간이다,,,,
2024.06.17 오후 05:47:02,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 06:56:18,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 07:22:40,8시간 이상,,,,,O,중간이다
2024.06.17 오후 08:30:52,6시간 미만,X,낮다,,,,
2024.06.17 오후 08:45:12,6시간~8시간,,,O,중간이다,,
2024.06.17 오후 09:03:27,8시간 이상,,,,,O,높은 편이다
2024.06.17 오후 09:18:56,6시간 미만,X,중간이다,,,,
2024.06.17 오후 09:32:45,6시간 미만,X,중간이다,,,,
2024.06.17 오후 09:47:10,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 10:01:38,6시간~8시간,,,O,중간이다,,
2024.06.17 오후 10:15:59,6시간 미만,X,중간이다,,,,
2024.06.17 오후 10:29:44,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 10:42:30,6시간~8시간,,,O,높은 편이다,,
2024.06.17 오후 10:55:13,8시간 이상,,,,,O,중간이다
2024.06.17 오후 11:10:04,6시간 미만,X,낮다,,,,
2024.06.17 오후 11:23:57,6시간 미만,X,높은편이다,,,,
2024.06.17 오후 11:37:21,6시간 미만,X,중간이다,,,,
2024.06.17 오후 11:48:45,6시간~8시간,,,O ,중간이다,,
2024.06.17 오후 11:52:30,8시간 이상,,,,,O,높은 편이다
2024.06.18 오전 12:07:14,6시간 미만,X,낮다,,,,
2024.06.18 오전 12:20:45,6시간 미만,X,낮다,,,,
2024.06.18 오전 12:34:56,8시간 이상,,,,,O,높은 편이다
2024.06.18 오전 12:48:30,6시간~8시간,,,,,O,중간이다
2024.06.18 오전 01:05:17,6시간~8시간,,,,,O,높은 편이다
2024.06.18 오전 01:18:45,6시간 미만,X,높은편이다,,,,
2024.06.18 오전 01:32:14,6시간~8시간,,,X,중간이다,,
2024.06.18 오전 01:45:37,6시간 미만,X,높은편이다,,,,
2024.06.18 오전 02:01:22,6시간~8시간,,,X,중간이다,,
2024.06.18 오전 02:15:53,6시간 미만,X,낮다,,,,
2024.06.18 오전 02:29:11,6시간 미만,X,중간이다,,,,
2024.06.18 오전 02:43:36,6시간 미만,X,중간이다,,,,
2024.06.18 오후 02:43:36,6시간~8시간,,,X,중간이다,,
